,About the Creative City,Added Value
124,"About the Creative City: Major port city and capital of the state of Paraíba, João Pessoa (pop. 900,000) is known as the ‘Sun Gate’, being located at the most eastern point of Brazil. João Pessoa is the main regional trade centre for crafts production, including pottery, embroidery and crochet. In recent years, a new range of organic cotton with brown shades has been discovered there, enabling theproduction of a unique fabric. Crafts in João Pessoa have been carried by 5,000 craftsmen families mainly living in the rural areas surrounding the city.
João Pessoa hosts the major regional fair dedicated to crafts, Salão de Artesanato da Paraíba (Paraíba Crafts Fair).Welcoming over 8,000 participants, this event is themed in support of ‘Cultural Roots of a People’. As a flagship event in João Pessoa’s calendar, the fair promotes local artisans and aims to strengthen the links between craftsmen, communities and local cultural identity. Established in 2017, the Rota dos Ateliês (Road of Workshops) offers an alternative approach to promoting artisans works through interactive workshops.
The Municipality has implemented a series of programmes to develop the craft sector. The João Pessoa Artisans Programme aims to support all activities of the craft production chain through direct actions in the communities, while the Paraibano Crafts Programme (PAP) promotes the development of Paraíba’s crafts and its recognition at the national and international level. The city is actively engaged to improve the living conditions of artisans, as well as to preserve and promote regional cultural identity through knowledge transfer and capacity-building processes to new generations of craftsmen.","Added Value: As a Creative City of Crafts and Folk Art, João Pessoa envisages:
setting-up a Design and Innovation Laboratory for Crafts and Small Enterprises, providing technical assistance for artisan groups and communities;
mapping cultural singularities through a survey which methodology and results will be shared with other UCCN cities;
creating employment for vulnerable and marginalised groups in the crafts labour market through the Social Crafts Factory initiatives;
engaging other Creative Cities of Crafts and Folk Art to participate in the International Exhibition of Crafts (January 2018) while broadening the market and creating new international cooperation and exchange;
implementing Knowledge and Flavours of Brazil Northeast, a transversal project aiming to promote traditional gastronomy, design and crafts; and
developing a Forum of Municipal Secretariats for Urban Planning with other Creative Cities to plan joint-initiatives for supporting creative economies and maximizing resources and results sharing."
129,"About the Creative City: Suzhou is situated in the Yangtze River Delta on the west shore of the Pacific Ocean. The first evidence of settlement dates back more than 2,500 years. Suzhou is home to a number of impressive historical sites, including the city’s numerous temples and its Classical Gardens, which have been designated as a UNESCO World Heritage Site.    
Pilot city of the unique “Chinese Ethnic and Folk Culture Protection Project”, Shuzhou is known for its traditional handicrafts involving paintings and calligraphic art. Recognized for their elegance and beauty, calligraphy, carving and embroidery are of particular importance to the people of Suzhou.
Building on these traditions, Suzhou is focusing on fostering creativity and promoting the integration of its renowned history and culture together with tourism, innovative businesses, technology, fashion and other creative domains. An innovative metropolis and an important business center, Suzhou is striving to build itself into a hub of international talents, industries and information.","Added Value: As a Creative City of Crafts and Folk Arts, Suzhou envisages:
proposing a wide range of pilot projects which increase the accessibility to cultural life and cultural products;
fostering innovation in the manufacturing, distribution and sharing of cultural products;
strengthening the whole creative industry production chain;
improving the visibility of creative projects in the city’s urban spaces; and
strengthening the creative industries and further incorporating them into Suzhou’s development plans."
137,"About the Creative City: A national heritage destination, Paducah has a longstanding tradition in the fine craft of quilt making.  Also known as “Quilt City”, Paducah is home to the National Quilt Museum of the United States.  The largest museum of its kind in the world, the National Quilt Museum encompasses 30,000 square feet of gallery space, and features a 320-piece collection of contemporary quilts and ever-changing thematic exhibitions that celebrate traditional quilt-making methods. Workshops taught by world-class instructors are also offered. 
Fabric and craft-related industries, supported by a steady stream of visitors seeking creative inspiration in Paducah’s artistic landscape, provide a favourable impact on the local economy year-round. The city’s award-winning Artist Relocation Program has brought together painters, bookbinders, leather crafters, fibre artists and jewellery makers from around the globe to the LowerTown Arts District. Located in Paducah’s oldest residential neighbourhood, the District is also home to the Paducah School of Art and Design which offers visual arts education in world-class facilities.
The Yeiser Art Centre, Maiden Alley Cinema, Market House Theatre, Clemens Fine Arts Centre and the Carson Centre all contribute to Paducah’s vibrant cultural offerings including live theatre, visual art exhibitions, independent films and classical performances by the Paducah Symphony Orchestra.  Paducah’s heritage is reflected and preserved in its architecture and wall-to-wall murals.  The 50 life-sized murals by internationally recognized artist Robert Dafford, depict pivotal moments from Paducah’s past. Host to AQS Quilt Week, Barbecue on the River, LowerTown Art and Music Festival, and the River’s Edge International Film Festival, Paducah offers authentic cultural experiences that reflect the creative nature of this historic river city.","Added Value: As Creative City of Crafts and Folk Arts, Paducah envisages:
providing a platform for UCCN members to showcase their creativity in the United States. Since joining the Network in 2013, Paducah has arranged cultural exchanges with several UNESCO Creative Cities;
fostering national and international awareness of the UCCN through Paducah’s branding, public relations, marketing, speaking engagements and social media campaigns;
utilizing the UNESCO Creative Cities platform to take a leadership role in educating the tourism industry, the national arts community and government officials on the value of creativity, creative tourism and the UCCN;
emphasizing the role of Crafts and Folk Art, notably of fibre arts, in creative expression; and
championing partnerships with UCCN members in the United States to strengthen the Network’s collaborative impact."
139,"About the Creative City: As the first capital of the Ottoman Empire located on both the silk and spice roads, Bursa became a crucial trading centre throughout its history. The city’s enriching culture derives from it being a city of immigration, which has resulted in the city’s unique artistic knowledge. With the city’s cultural and historical background, various arts and crafts have been performed by a number of artists and craftspeople, notably silk of Bursa, Iznik tiles, shadow puppetry (Karagoz), cutlery, weaving, wood carving, glass ornament, marbling, philography, traditional archery, needle lace and many others. The city of Bursa boasts a set of cultural assets that includes 55 culture centres, 20 art galleries, 28 museums, among others. With a 530-year history of silk trading, Koza (Cocoon) Khan is one of the most popular places for visitors to discover the city’s cultural heritage. The city’s Textile Museum welcomes an average of 90,000 visitors, and the Umurbey Silk Production and Design Centre receives around 35,000 per year. All of these important centres reflect the importance of Bursa’s historic sericulture industry, an essential element of the local crafts. The Iznik Museum, showing the finest examples of Iznik tiles, reopened in 2020 after restoration works. The city is also home to the Swords and Shields Dance, a rare folk dance performed without music.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important:
 Strengthening international cooperation and contributing to sustainable development;
 Sharing experiences, best practices and learning thus providing future opportunities for creators, professionals, academics and the city’s youth; and
 Bringing together public-private sector and civil society representatives and providing a place for the dissemination of cultural goods and services as well as marketing opportunities."
151,"About the Creative City: One of the oldest cities of the Americas, Nassau, the capital of the Bahamas, is located on the island of New Providence. The city and country lie at the crossroads between North America and the Caribbean and have long been a hub for waves of migration between the Antilles and the continent, as well as a meeting ground for disparate groups from the African diaspora.
The crafts and folk arts have drawn on this migration mélange to form a distinct culture, whilst showing clear kinship with the contributory streams. Bahamian cultural forms may thus be viewed as a bridge between the cultural complexes of the two regions.
Junkanoo and straw art are among the most outstanding Bahamian creative and cultural traditions. Firmly grounded in Bahamian history and heritage, the Junkanoo masquerade tradition has had a significant positive impact on the development and preservation of the country’s indigenous arts and crafts. At the same time, it has privileged creativity and resourcefulness in the use of available materials and has provided an avenue to greater economic independence for generations of Bahamians. Through the development of the local creative economy and exchange with other Creative Cities, Nassau plans to diversify its economy and increase participation in cultural life.","Added Value: As a Creative City of Crafts and Folk Arts, Nassau envisages:
forging stronger relationships with UCCN cities via electronic media;
hosting  UCCN conferences;
sharing historical and educational information on the Bahamian straw and Junkanoo traditions in addition to fostering educational exchange programmes on this topic;
strengthening the city’s relationship with Santa Fe, fellow Creative City of Crafts and Folk Arts,  with which it has already developed an active partnership; and
acting as a conduit for the promotion of the UCCN and the creative tourism model throughout the Caribbean region."
159,"About the Creative City: Located at the heart of the Italian Textile Valley, Como is founded on its patrimonial textile industry. The city aspires to pass on this deep-rooted traditions and artistic skills from generation to generation, while continuing to improve technique and manufacturing potential. This is thanks to Como’s constant push for innovation, which is ensured by the support of excellent training centres, and promoted by the commitment and creativity of the industry's artisans and textile manufacturers. The industry focuses on intricate and complex production methods, where the art of silk craft, along with the tradition of sericulture, play a fundamental role.
Como's textile industry is backed by scientific input from a host of exceptional training institutions, such as the Setificio school, the oldest textile school in Italy established in 1868 and the only one to offer a course in textile design; the University of Insubria, which promotes research, innovation, and sustainability in its textile chemistry courses; the Silk Museum, which preserves the traditions of the industry’s production methods; and the ""Ratti"" Foundation, home to a prized art collection and monumental textiles archive.
Underlining the importance of the city’s industrial base, today about 70% of European silk is produced in the Como district, and the city is proudly home to about 1,400 silk companies, which provides employment for over 15,000 people. The turnover of the textile district is estimated at USD 2.28 billion, providing not only financial resources, but cultural and social interaction for many of the city’s residents.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important: 
Putting in place strategies for a circular economy that will create opportunities for urban regeneration and inclusion;
Making its centres of creativity and innovation available to other UCCN member cities to expand opportunities for exchange and good practice development; and
Sharing experiences, knowledge, and good practices and collaborating within the UCCN on innovative projects."
165,"About the Creative City: The second largest city in the Democratic Republic of the Congo with 1.7 million inhabitants, Lubumbashi is situated along the mining region of the Copperbelt. As the copper and malachite industries have long been the backbones of the local economy, Lubumbashi is committed to giving new impetus to the city’s development by using creativity to highlight its industrial legacy. With more than 50 workshops dedicated to malachite carving, city policies reflect the trade’s stature as a key lever to stimulate employment.
Workers from the copper mines have anchored many artistic expressions in the city’s cultural identity, from street performance to popular theatre and music including karindula and brakka. This vast amount of creativity has led to the creation of the Copper Eaters Festival, which for the last fifteen years has celebrated artisan work. This event is central to the city’s strategy to foster urban vitality, cultural participation and social cohesion. In addition, the city hosts the Picha Encounters, also referred to as the Lubumbashi Biennale for Visual Arts, which is known as one of the most innovative and experimental cultural events in Africa for showcasing urban-related works of art.
So far, culture and creativity within the city has been developing in the informal sphere. However, the Municipality, together with civil society, is keen to work towards developing a comprehensive policy framework for culture. Current measures facilitate the establishment of cultural organizations and creative industries, as well as increase the number of training programmes and job opportunities for artists and artisans. Lubumbashi is eager to develop its networks further with the aim of allowing this post-industrial city to advance with a sustainable urban renewal and development path, using culture and creativity as a driver.","Added Value: As a Creative City of Crafts and Folk Art, Lubumbashi envisages:
undertaking research on the production and dissemination, as well as social impact, of crafts and folk art by valorising the city’s mining legacy and the status of artisans;
developing local, regional and international networks of craftspeople to increase employment opportunities and training offered for young people;
involving other Creative Cities of Crafts and Folk Art to undertake research on contemporary approaches to the notion of folk art, as well as on collective memory in post-industrial cities; and
supporting fair trade of works of craft and folk art in the global market."
168,"About the Creative City: Nestled in the mountains of Northern Luzon, Baguio City (pop. 350,000) is a colourful, multicultural city full of diversity. Baguio City’s artistic culture ranges from crafts and folk art expressions to woodcarving, silver craft, weaving and tattooing. Today, 56 local institutions are directly devoted to the sector, totalling a gross receipt of US$1,113,258 million. Although crafts and folk art represent an essential cornerstone of the city’s local trade and creative tourism economy, Baguio City works towards developing the sector’s sustainability through intergenerational transfer of knowledge and skills.
The Panagbenga Flower Festival is the main creative platform, engaging artisans from different linguistic groups such as the Tuwalis of Ifugao for woodcarving and Benguet for weaving. This festival is a joint initiative organised by the Municipality and the creative sector, aiming to enhance international exposure of the local crafts industry. With a view to further promote and protect the traditional know-how of the Cordillera crafts, Baguio City has set up a series of villages and centres that serve as spaces for creation, production and training, targeting young people in particular.
The Baguio City Government and its partner organisations are actively supporting the city's creative sector, with a particular focus on crafts and folk art, through capacity building, incentivizing innovation, and providing market opportunities both locally and internationally. The Rev-Bloom Urban Redevelopment Campaign also illustrates the city’s commitment to culture-based development and multi-sectoral collaboration. By engaging with its communities and propelling creativity for urban renewal and economic vitality, the City intends to foster a more sustainable and responsible creative tourism.","Added Value: As a Creative City of Crafts and Folk Art, Baguio City envisages:
initiating the development of Creative Centres dedicated to supporting crafts and folk art, offering workshops, studios, design laboratories, exhibit areas as well as open collaborative spaces for creators and the general public, thus strengthening Baguio’s creative ecosystem;
setting up the Baguio City Creative Circuit (BCCC) that will physically link existing buildings and venues to showcase Baguio City’s creative spirit, directing the general public towards creativity as an essential element for sustainable urban development;
involving Creative Cities of Crafts and Folk Arts, as well as members from the Association of Southeast Asian Nations (or ASEAN), to take part in the festivals and activities, and providing them dedicated spaces to display creative crafts and folk artworks; and
developing partnerships with members of the Network in order to share best practices and promote mutual understanding."
169,"About the Creative City: Gimhae is a city with a long tradition of crafts. Well known for Gaya pottery and Buncheong ware during the Joseon Dynasty, the traditional arts sector in Gimhae is currently developing into a full blown creative industry through modernization projects, such as the development of daily necessities for modern society and the application of new technologies as building materials. Gimhae is home to some 240 craft companies, and its Workshop Village provides an essential creative space in which many of the companies engage in creation, experiential education, and trades. Moreover, the city holds several institutions for ceramic arts including the Clayarch Gimhae Museum, the world's first architectural ceramics museum, and the Gimhae Buncheong Ceramics Museum, established to pass on and further develop Buncheong ware. The city aims to support its ceramics industry and develop it into a more creative sector.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important: 
Implementing a creative industry based on culture, notably through the innovation of the ceramic arts tradition;
Integrating a citizen-led approach into its development plan as a Creative City; and
Implementing the Sustainable Development Goals at the local level, notably those on education, gender equality and sustainable cities."
173,"About the Creative City: Since its designation as UNESCO City of Crafts and Folk Art, Icheon has consolidated itself as a reference of the Korean crafts industry. Icheon plays a key role in developing modern ceramics and in handing down traditional Korean ceramics, an ancient art going back over 1,000 years, from one generation to the next. 
Housing all of the necessary infrastructures in the ceramics process such as industrial enterprises, educational institutes and craft-related support facilities, Icheon has been designated as the only crafts specialized zone in Korea. The ceramic belt around Icheon accounts for 55% of the domestic ceramic industry. The 320 ceramic studios located in the area make Icheon Korea’s largest centre of the craft industry.
Events such as the Icheon Ceramic Festival and the Icheon International Sculpture Symposium illustrate the city’s status as a place of exchange, mutual understanding and creative activities. Today the city of Icheon is developing creative policies and programmes that are destined to put its people at the centre of the city’s transformation as a UNESCO Creative City. Icheon aims to preserve its creative and cultural resources and share these values with other cities around the world.","Added Value: As a Creative City of Crafts and Folk Art, Icheon envisages:
revitalizing its ceramic industry and enhancing the international image of Icheon ceramics through holding large-scale, craft-related exhibitions around the world; and
developing cooperative projects with the member cities of the UCCN, especially among cities from the Crafts and Folk Art field."
175,"About the Creative City: Located on the south coast of the province of Santi Spíritus, Trinidad is a city with a rich industrious history and quintessential charm. Crafts and folk art trades have remained a vital source of income for many of its inhabitants, predominantly the creation of fibre fabrics. Today, much of the exquisite craftwork remains intact, preserved inside the homes of local inhabitants and inherited from one generation to another. The industry now continues to flourish, generating nearly US$ 500,000 towards the public sector.
 
Throughout the year, Trinidad organizes a number of exhibitions and fairs to promote the evolution and knowledge in the different craft fields. Specialist art markets are also hosted on commemorative dates, such as San Valentine’s day and Mother’s Day, providing platforms for artisans from all over the country to showcase their products and collaborate with fellow craftspeople. In conjunction with these seasonal events, a permanent exhibition displaying local crafts made by Magalis Ramírez and Lucía Jiménez not only invites visitors to observe local creative work and converse with the artists, but also offers summer courses for those wishing to develop their own creative talents.
 

The development of Trinidad’s handicrafts industry is strengthened by Goal 8 of the 2030 Agenda for Sustainable Development. Gender equality is a focal point, promoting female artisans and highlighting their commitment to the crafts and folk art sector. Workshops and craft schools have been set up, inviting the younger generation to learn about the traditional arts and crafts, as well as allowing them to explore new technologies which have the potential to increase productivity while continuing with the ancestral techniques. Furthermore, the city also offers a capacity building programme at the School of Trades of Restoration where young people from marginalized social backgrounds come together to augment their creative skills and professional competency to be able to better integrate them into the social cultural fabric of the city.","Added Value: As a Creative City of Crafts and Folk Art, Trinidad envisages:
 
strengthening Trinitarian craftspersonship by reinforcing the creation, production, distribution and dissemination of cultural activities, goods and services;
exchanging knowledge, experiences and the best practices of Trinitarian artisans within the Network, and strengthening international cooperation between the Creative Cities of Crafts and Folk Art;
organizing workshops for socially disadvantaged groups to benefit the cultural goods and services; and
integrating culture and creativity to local development plans and policies."
